Var1	Var2	None
away_x	bullseye_x	0.029476
away_x	circle_x	0.018211
away_x	dino_x	0.050720
away_x	dots_x	0.027244
away_x	h_lines_x	0.020686
away_x	high_lines_x	0.032384
away_x	slant_down_x	0.037317
away_x	slant_up_x	0.025975
away_x	star_x	0.031200
away_x	v_lines_x	0.042423
away_x	wide_lines_x	0.036058
away_x	x_shape_x	0.036948
away_x	away_y	0.037920
away_x	bullseye_y	0.045503
away_x	circle_y	0.025714
away_x	dino_y	0.060157
away_x	dots_y	0.032153
away_x	h_lines_y	0.024829
away_x	high_lines_y	0.015990
away_x	slant_down_y	0.024098
away_x	slant_up_y	0.025167
away_x	star_y	0.028104
away_x	v_lines_y	0.031501
away_x	wide_lines_y	0.023405
away_x	x_shape_y	0.043845
bullseye_x	circle_x	0.020354
bullseye_x	dino_x	0.030073
bullseye_x	dots_x	0.021158
bullseye_x	h_lines_x	0.036780
bullseye_x	high_lines_x	0.014528
bullseye_x	slant_down_x	0.021215
bullseye_x	slant_up_x	0.024086
bullseye_x	star_x	0.023231
bullseye_x	v_lines_x	0.035777
bullseye_x	wide_lines_x	0.034737
bullseye_x	x_shape_x	0.032290
bullseye_x	away_y	0.052759
bullseye_x	bullseye_y	0.082783
bullseye_x	circle_y	0.027697
bullseye_x	dino_y	0.048871
bullseye_x	dots_y	0.032704
bullseye_x	h_lines_y	0.040504
bullseye_x	high_lines_y	0.018816
bullseye_x	slant_down_y	0.028410
bullseye_x	slant_up_y	0.039737
bullseye_x	star_y	0.038573
bullseye_x	v_lines_y	0.027645
bullseye_x	wide_lines_y	0.021411
bullseye_x	x_shape_y	0.026464
circle_x	dino_x	0.025829
circle_x	dots_x	0.016891
circle_x	h_lines_x	0.023720
circle_x	high_lines_x	0.026329
circle_x	slant_down_x	0.026662
circle_x	slant_up_x	0.043504
circle_x	star_x	0.024874
circle_x	v_lines_x	0.025905
circle_x	wide_lines_x	0.025011
circle_x	x_shape_x	0.035496
circle_x	away_y	0.039804
circle_x	bullseye_y	0.022909
circle_x	circle_y	0.276031
circle_x	dino_y	0.051360
circle_x	dots_y	0.027364
circle_x	h_lines_y	0.028253
circle_x	high_lines_y	0.028547
circle_x	slant_down_y	0.027311
circle_x	slant_up_y	0.031974
circle_x	star_y	0.036670
circle_x	v_lines_y	0.021880
circle_x	wide_lines_y	0.032413
circle_x	x_shape_y	0.039968
dino_x	dots_x	0.031249
dino_x	h_lines_x	0.033860
dino_x	high_lines_x	0.040533
dino_x	slant_down_x	0.018225
dino_x	slant_up_x	0.027445
dino_x	star_x	0.024559
dino_x	v_lines_x	0.034269
dino_x	wide_lines_x	0.035259
dino_x	x_shape_x	0.029214
dino_x	away_y	0.030921
dino_x	bullseye_y	0.039773
dino_x	circle_y	0.016804
dino_x	dino_y	0.069699
dino_x	dots_y	0.017458
dino_x	h_lines_y	0.023143
dino_x	high_lines_y	0.028776
dino_x	slant_down_y	0.029342
dino_x	slant_up_y	0.033426
dino_x	star_y	0.023860
dino_x	v_lines_y	0.027071
dino_x	wide_lines_y	0.030552
dino_x	x_shape_y	0.022770
dots_x	h_lines_x	0.030520
dots_x	high_lines_x	0.024667
dots_x	slant_down_x	0.028788
dots_x	slant_up_x	0.034680
dots_x	star_x	0.047921
dots_x	v_lines_x	0.036948
