Var1	Var2	None
away_x	bullseye_x	5.196545e-01
away_x	circle_x	9.550614e-01
away_x	dino_x	4.437794e-02
away_x	dots_x	6.212816e-01
away_x	h_lines_x	8.928922e-01
away_x	high_lines_x	3.962156e-01
away_x	slant_down_x	2.336075e-01
away_x	slant_up_x	6.802371e-01
away_x	star_x	4.446519e-01
away_x	v_lines_x	1.267836e-01
away_x	wide_lines_x	2.688045e-01
away_x	x_shape_x	2.435215e-01
away_x	away_y	2.174720e-01
away_x	bullseye_y	8.576811e-02
away_x	circle_y	6.920620e-01
away_x	dino_y	1.301590e-02
away_x	dots_y	4.057795e-01
away_x	h_lines_y	7.321947e-01
away_x	high_lines_y	9.847332e-01
away_x	slant_down_y	7.643393e-01
away_x	slant_up_y	7.172854e-01
away_x	star_y	5.818566e-01
away_x	v_lines_y	4.321413e-01
away_x	wide_lines_y	7.933560e-01
away_x	x_shape_y	1.060149e-01
bullseye_x	circle_x	9.032456e-01
bullseye_x	dino_x	4.935355e-01
bullseye_x	dots_x	8.775477e-01
bullseye_x	h_lines_x	2.481660e-01
bullseye_x	high_lines_x	9.937966e-01
bullseye_x	slant_down_x	8.756518e-01
bullseye_x	slant_up_x	7.648610e-01
bullseye_x	star_x	8.002853e-01
bullseye_x	v_lines_x	2.772058e-01
bullseye_x	wide_lines_x	3.101018e-01
bullseye_x	x_shape_x	4.001056e-01
bullseye_x	away_y	3.382349e-02
bullseye_x	bullseye_y	8.117032e-04
bullseye_x	circle_y	6.009152e-01
bullseye_x	dino_y	5.590236e-02
bullseye_x	dots_y	3.836582e-01
bullseye_x	h_lines_y	1.599072e-01
bullseye_x	high_lines_y	9.429748e-01
bullseye_x	slant_down_y	5.678477e-01
bullseye_x	slant_up_y	1.757853e-01
bullseye_x	star_y	2.015110e-01
bullseye_x	v_lines_y	6.032329e-01
bullseye_x	wide_lines_y	8.687698e-01
bullseye_x	x_shape_y	6.578491e-01
circle_x	dino_x	6.869284e-01
circle_x	dots_x	9.755767e-01
circle_x	h_lines_x	7.802591e-01
circle_x	high_lines_x	6.639164e-01
circle_x	slant_down_x	6.485777e-01
circle_x	slant_up_x	1.104627e-01
circle_x	star_x	7.301627e-01
circle_x	v_lines_x	6.836393e-01
circle_x	wide_lines_x	7.241019e-01
circle_x	x_shape_x	2.856660e-01
circle_x	away_y	1.744109e-01
circle_x	bullseye_y	8.133013e-01
circle_x	circle_y	4.999975e-06
circle_x	dino_y	4.081884e-02
circle_x	dots_y	6.158127e-01
circle_x	h_lines_y	5.751187e-01
