img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,mic,tic,corr
img_0_bw,img_0_bw,full,0.9990037415738382,0.10983992972428061,,,,0.9999999932711469,13346.41831174982,0.9999999999999997
img_0_bw,img_0_bw,fast,1.0,1118.0692476619497,,,,1.0000000000000002,41.33546405684484,1.0
img_0_bw,img_0_noise_low,full,0.8218022202145648,0.09527306490632469,,,,0.5179506502406788,4332.547017340955,0.8439597367869724
img_0_bw,img_0_noise_low,fast,0.8163679071569886,1037.2143046359697,,,,0.8204402511423331,28.457144951679155,0.7361936034368857
img_0_bw,img_0_noise_mid,full,0.42924298500031777,0.06610733564657785,,,,0.1240304883125602,917.8536543903954,0.4630450966356259
img_0_bw,img_0_noise_mid,fast,0.7643132136539392,974.257356664029,,,,0.7236215127630469,24.999536333106708,0.6830370943961968
img_0_bw,img_0_noise_high,full,0.2707757606376897,0.051740393631430875,,,,0.050063301014389855,361.2987102901008,0.29819350434243647
img_0_bw,img_0_noise_high,fast,0.7701608593032885,994.8104447241634,,,,0.8027799367324459,28.559666106566745,0.6752813601723264
img_0_noise_low,img_0_noise_low,full,1.0000000000002331,0.12223976915717148,,,,1.0000000000000038,13344.90495974687,0.9999999999999998
img_0_noise_low,img_0_noise_low,fast,1.0,1443.7647889881957,,,,1.0000000000000002,41.33030079569897,0.9999999999999998
img_0_noise_low,img_0_noise_mid,full,0.3647453792724292,0.05923057397123862,,,,0.0898408316056699,649.8370513827329,0.39048409920096566
img_0_noise_low,img_0_noise_mid,fast,0.9800072914729788,1419.5330380106075,,,,0.8976741795845459,35.207511620617396,0.9802883968725338
img_0_noise_low,img_0_noise_high,full,0.23209233081322683,0.04676171478863996,,,,0.0371064424163251,263.2545467085688,0.2525523874269539
img_0_noise_low,img_0_noise_high,fast,0.9877087437324855,1449.7785273271568,,,,0.9834950677145502,39.57208638158995,0.9826205928564331
img_0_noise_mid,img_0_noise_mid,full,1.0000000000002054,0.2157246453353246,,,,1.0000000000000038,13344.90495974687,0.9999999999999998
img_0_noise_mid,img_0_noise_mid,fast,1.0,1453.2353367280855,,,,1.0000000000000002,41.34396622613948,1.0
img_0_noise_mid,img_0_noise_high,full,0.12610786509300423,0.03375323736000992,,,,0.011757337681975387,84.72153438400179,0.13916011557709546
img_0_noise_mid,img_0_noise_high,fast,0.980090656183389,1443.307157685947,,,,0.9131679843335894,35.22336796209789,0.9823490940495593
img_0_noise_high,img_0_noise_high,full,1.0000000000000846,0.33208308606167974,,,,1.0000000000000038,13344.90495974687,1.0
img_0_noise_high,img_0_noise_high,fast,1.0,1492.275756759185,,,,1.0000000000000002,41.3371115867404,0.9999999999999999
img_1_bw,img_1_bw,full,1.0066530952948782,0.032064083638164896,,,,0.9999999995231513,13350.63235050213,0.9999999999999997
img_1_bw,img_1_bw,fast,1.0,1565.6639504667899,,,,1.0000000000000002,41.337034409062035,1.0
img_1_bw,img_1_noise_low,full,0.482108460750788,0.02352165516196749,,,,0.12667290831433528,1258.08818168343,0.6268700870865889
img_1_bw,img_1_noise_low,fast,0.462723926197128,764.7521536749813,,,,0.4590321851741945,15.347393588642738,0.26294046216754885
img_1_bw,img_1_noise_mid,full,0.20838382778914818,0.016465088826669277,,,,0.028450200638441284,237.79620274560722,0.2587438891193558
img_1_bw,img_1_noise_mid,fast,0.24452975652221615,375.6863181134606,,,,0.4099932377516912,12.858787239039957,0.03958025335421121
img_1_bw,img_1_noise_high,full,0.1371254894971901,0.01385654856164493,,,,0.013035273244826489,96.75438296665351,0.1590525306589533
img_1_bw,img_1_noise_high,fast,0.25543926509961074,386.5785866598695,,,,0.42053085795851475,13.342989655540654,0.0559802210491579
img_1_noise_low,img_1_noise_low,full,0.9999999999999373,0.0747321112503059,,,,1.0000000000000038,13344.90495974687,1.0
img_1_noise_low,img_1_noise_low,fast,1.0,1744.6123916082681,,,,1.0000000000000002,41.3344951626068,1.0
img_1_noise_low,img_1_noise_mid,full,0.11526091266360419,0.013949744296638141,,,,0.018759058537829918,141.78723416050593,0.16243033688270164
img_1_noise_low,img_1_noise_mid,fast,0.7570176475014742,1227.721518501746,,,,0.8940631275435156,32.96756981422682,0.7385745395177593
img_1_noise_low,img_1_noise_high,full,0.07275895485396945,0.011261790794146189,,,,0.00835054271216126,60.941131838417135,0.10099148177244732
